run_id,model,method,task,metric_dimension,aug,think,strict_f1,strict_acc,lenient_f1,lenient_acc,n_total_rows,n_scored_rows,n_unknown,unknown_rate,unknown_row_indices,prediction_file,timestamp
015,Mistral-7B,Zero-shot,MT,MI,None,N/A,0.32937,0.769231,0.518595,0.850202,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Mistral-7B/outputs/20260422_165517/run_015_mistral7b_zeroshot_mt_predictions.csv,2026-04-22T17:00:51
015,Mistral-7B,Zero-shot,MT,ML,None,N/A,0.296205,0.523422,0.482113,0.608961,494,491,3,0.006073,412;446;455,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Mistral-7B/outputs/20260422_165517/run_015_mistral7b_zeroshot_mt_predictions.csv,2026-04-22T17:00:51
015,Mistral-7B,Zero-shot,MT,PG,None,N/A,0.284183,0.482759,0.468668,0.772819,494,493,1,0.002024,446,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Mistral-7B/outputs/20260422_165517/run_015_mistral7b_zeroshot_mt_predictions.csv,2026-04-22T17:00:51
015,Mistral-7B,Zero-shot,MT,Act,None,N/A,0.23358,0.493902,0.410858,0.640244,494,492,2,0.004049,446;455,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/ZeroShot/Mistral-7B/outputs/20260422_165517/run_015_mistral7b_zeroshot_mt_predictions.csv,2026-04-22T17:00:51
016,Mistral-7B,LoRA,MI,MI,None,N/A,0.494201,0.630112,0.705634,0.864312,538,538,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_016_mistral7b_lora_mi_predictions.csv,2026-04-22T17:44:11
017,Mistral-7B,LoRA,ML,ML,None,N/A,0.339064,0.407708,0.569637,0.74645,494,493,1,0.002024,316,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_017_mistral7b_lora_ml_predictions.csv,2026-04-22T18:24:43
018,Mistral-7B,LoRA,PG,PG,None,N/A,0.37356,0.515213,0.524583,0.736308,494,493,1,0.002024,316,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_018_mistral7b_lora_pg_predictions.csv,2026-04-22T19:05:16
019,Mistral-7B,LoRA,Act,Act,None,N/A,0.305321,0.352227,0.470171,0.591093,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_019_mistral7b_lora_act_predictions.csv,2026-04-22T19:45:47
020,Mistral-7B,LoRA,MT,MI,None,N/A,0.305017,0.763158,0.48315,0.846154,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_020_mistral7b_lora_mt_predictions.csv,2026-04-22T20:30:16
020,Mistral-7B,LoRA,MT,ML,None,N/A,0.301889,0.536437,0.489723,0.621457,494,494,0,0.0,,/WAVE/projects2/CSEN-346-Sp26/Group3/TutorMind/Scaling-Experiments/LORA/Mistral-7B/outputs/20260422_165517/run_020_mistral7b_lora_mt_predictions.csv,2026-04-22T20:30:16
